"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Ohio",71.9717,30,70.1409,47,108.985,109,107.898,152,105.451,178,108.092,211,-0.194097,172
"2025","Ohio St.",69.2647,135,67.1266,182,112.372,63,116.261,42,100.092,75,95.9801,26,20.2804,28
"2025","Oklahoma",69.2612,136,67.2003,177,115.461,35,118.073,29,101.551,90,101.014,76,17.0583,43
"2025","Oklahoma St.",70.7651,63,70.0572,49,103.271,228,106.788,172,105.257,173,102.225,94,4.56293,107
"2025","Old Dominion",66.7964,259,65.4925,259,98.8458,305,99.2149,306,109.075,252,110.862,263,-11.6468,301
"2025","Oral Roberts",69.1719,140,68.2375,123,104.008,213,104.452,212,122.414,362,119.417,360,-14.9648,325
"2025","Oregon",69.666,115,68.3225,117,111.322,74,117.345,32,100.187,77,97.4909,42,19.8542,29
"2025","Oregon St.",65.2894,326,64.0918,325,116.83,22,116.083,45,99.0247,55,102.104,90,13.9785,58
"2025","Pacific",67.9481,205,66.7398,203,99.3164,297,100.867,278,112.98,323,112.496,293,-11.6286,300
"2025","Penn",66.5199,275,65.6231,253,101.136,269,104.063,221,112.15,310,113.106,305,-9.04279,271
"2025","Penn St.",72.3958,24,70.2274,44,114.969,42,116.228,43,100.106,76,99.9843,64,16.2438,45
"2025","Pepperdine",68.5256,178,68.6929,99,100.204,285,102.757,238,106.599,197,106.406,169,-3.64873,212
"2025","Pittsburgh",68.267,186,67.0153,187,115.997,33,119.11,21,102.955,116,100.537,71,18.5728,34
"2025","Portland",69.0922,146,68.0966,132,98.4436,312,101.987,253,116.843,348,115.337,333,-13.3505,314
"2025","Portland St.",69.3831,128,68.7851,91,105.019,191,102.138,250,103.857,134,105.471,149,-3.33281,207
"2025","Prairie View A&M",73.3931,13,71.6428,16,99.7682,290,99.0334,309,116.653,347,115.462,334,-16.4284,333
"2025","Presbyterian",65.1341,329,63.6395,336,106.255,170,104.748,211,112.359,314,113.274,308,-8.52513,261
"2025","Princeton",68.9993,153,66.7786,200,108.483,122,109.498,126,105.94,188,106.986,185,2.51176,137
"2025","Providence",65.856,303,65.1736,272,108.86,110,112.634,75,104.922,166,103.255,110,9.37848,87
"2025","Purdue",66.7893,260,64.8578,285,116.124,32,122.962,6,101.011,83,95.6301,22,27.3318,8
